p***i,美心传统七星伴明月月饼1350g,,0,0,东西不错，多快好省相信京东,2021-09-19 09:11:55
杠***理,美心精装八宝月饼675g,,0,0,盒子破损，不知原因，未退换货,2021-09-19 09:07:22
****l,美心双黄莲蓉月饼740g,,0,0,美心的东西都不错，这款月饼不是很甜很腻，味道刚刚好,2021-09-19 09:05:55
****f,美心精装八宝月饼675g,,0,0,商品不错 在京东买东西寄送速度一流,2021-09-19 08:58:21
a***o,美心双黄白莲蓉月饼740g,,0,0,买了一天降价150，还有两天过节，没价保，?,2021-09-19 08:56:09
****d,美心传统七星伴明月月饼1350g,,0,0,拍下后一周才发货，收到时箱子像垃圾桶找出来的一样，价格还比普通超市贵几百块，客服除了一句非常抱歉没有解决方案，9号就配送了，怕我给差评10天了一直显示在配送中，是想拖到过节后没人卖月饼，不影响销售吗,2021-09-19 08:54:33
l***x,美心双黄白莲蓉月饼740g,,0,0,美心月饼质量不错一直购,2021-09-19 08:53:14
****k,美心精装八宝月饼675g,,0,0,好吃?,2021-09-19 08:47:44
路***尘,美心传统七星伴明月月饼1350g,,0,0,之前买过美心月饼，觉得很好吃，主要是贵，所以很长时间没买了，今年中秋节又想买美心月饼了，外壳很好看，很华丽的。京东送货速度快，上午下单下午到。超喜欢在京东没东西。这款月饼礼盒上的图案花纹非常美丽。,2021-09-19 08:47:20
c***7,美心双黄白莲蓉月饼740g,,0,0,价格贼贵贼贵的，质量还可以。,2021-09-19 08:35:31
拖***猪,美心精装八宝月饼675g,,3,2,月饼包装非常好，没有评论当中摔得那么糟糕。作为朋友圈中的网红月饼。除了极度的卖相诱人的卖相之外。味道也没得说。饼皮非常松软细腻。奶香浓郁。如果在微波炉加热之后。切开后流心直接流出来，看起来更诱人。不愧是月饼中的劳斯莱斯。吃完以后没有觉得像其他月饼一样油腻。美心月饼，无论是自己吃，还是买来送人都会显得特别高档。喜欢在京东购买商品，质量好，物流快。,2020-09-19 11:54:29
紫***下,美心精选口味限量版月饼730g,,1,3,美心月饼将中国传统节日的精髓和美食的极致做到了传承和完美融合！仿佛中秋节少了美心月饼就没有了灵魂。之所以深受大家喜爱，源于它精美绝伦的包装，入口难以忘怀的口味。这款月饼买了好几次了，精选蛋黄豆沙，双黄白莲蓉等6种经典口味，可以满足全家人的喜好。口感超级棒，遇到促销价格很美丽，一年一期的中秋节，有美心相伴，甜甜美美！,2020-11-25 11:33:53
d***n,美心传统七星伴明月月饼1350g,,0,0,中国香港 美心（Meixin）传统七星伴明月 港式月饼礼盒 1350g，这款月饼礼盒很大气，品质很不错，自己品尝或送礼都合适。,2020-09-22 09:49:12
s***e,美心双黄莲蓉月饼740g,,0,0,"1.正宗广式月饼。甜而不腻。味道非常好。莲容细腻，口感很棒。一股自然饼香。蛋黄也不腥。
2.独立包装，一盒4个。一个人吃一个会很撑，还是2人分一个好。",2021-09-12 23:57:59
画***儿,美心果仁五仁月饼740g,,0,1,香港美心月饼，今年买了好几盒，味道一如既往的好，价格小贵吧，一盒四块三百多，用料很足，家里有老人孩子都很爱吃，有买了几个送亲戚，很好的。包装很简单，一个铁骑盒子四块月饼，盒子还能装点东西，送货速度非常快，质量很好，一年吃一次挺满意,2020-10-06 19:25:48
南***侠,美心双黄白莲蓉月饼740g,,1,0,美心月饼可以用四个字形容：货真价实，手提袋、盒子、包装，都很普通，没有显示出一点的高档，但，美心一眼就能看出大气，再就是真真实实的月饼，让人完全能感觉出质朴和实在，完全没有浮夸、没有那种靠着包装来吸引，而是靠着一如既往的实实在在的月饼。选月饼，认美心！,2020-09-30 21:00:05
青***润,美心低糖蛋黄月饼540g,,0,2,香港美心的月饼，据说是香港最好的月饼，没有之一的，所以这次给公司弟兄们买的月饼直接就买了香港美心的月饼，每人一盒，买的也比较多，而且买了几个种类，我自己家里的就给我母亲买了一批糖的，其他的弟兄根据各自的不同，然后买了不同的美心月饼，包装精美，而且很漂亮，吃起来口感也非常好,2019-08-29 19:15:34
程***2,美心陈皮豆沙月饼420g,,0,2,小朋友喜欢吃豆沙口味的，昨天晚上购买的，今天上午就收到了。刚刚拆开试一试，越吃越好吃，这个豆沙口味跟蛋黄月饼比起来，各有特色，口味都超赞，坐着看电视把一盒月饼吃光了。,2020-09-14 20:01:50
s***e,美心双黄白莲蓉月饼740g,,2,3,美心月饼应该是小伙伴们都有所耳闻的了，除了极度诱人的卖相之外，味道也没得说。饼皮非常松软细腻，内馅儿是浓滑奶黄夹着甘沙咸蛋黄，软软糯糯，甜而不腻，直接流入口中。特别正宗的老香港的传统制作工艺制作，是那种会给你留下记忆的好吃。无论是送人还是自己吃都是首选。（店家很贴心的有准备包装袋送礼包装无压力）,2020-09-14 19:53:57
0***y,美心精选口味限量版730g,,0,2,中秋月饼礼盒送礼佳品！,2015-10-01 06:35:04
z***8,美心双黄豆沙月饼740g,,0,1,美心品牌，已经是由小朋友吃到现在了，無論蛋卷，西饼，月饼，都是最好的，一如既往的品质好，味道好，口感一流，美心月饼就更加不用说了，皮够薄，莲蓉，蛋黄都是十分香，十分滑，绝对是最好吃的月饼，在京东店买一定不担心物流的损坏，绝对值得信任和支持的美心京东店！,2020-11-12 18:48:03
紫***下,精选口味限量版月饼730g,,0,1,美心月饼，绝对是月饼界的傲娇和扛把子！美心美心，吃了真的美到心里！口口相传的好口碑造就了美心月饼的传世经典！毫不夸张的说，你如果品尝了第一口美心月饼，就绝对不会再买其它品牌的月饼了！我是去年第一次买它，入口的一瞬间，彻底颠覆了我对月饼已有的甜腻难吃的思维定势。今年果断买它，因为一见钟情它的美貌盒子。包装实在太精致了，月饼盒实在是神仙颜值！里面的月饼更让我为之倾倒！真的感叹是什么样的配料和烘焙大师赐予它难以忘怀的美味！莲蓉月饼绵软中满口香甜，有了咸蛋黄的映衬却又不甜腻，甜咸口味相得益彰。豆沙月饼软糯可口，让人回味无穷。五仁月饼营养和味觉同时在线，吃了使人身心愉悦。实在太满意美心月饼的品质！全家人在美心月饼的陪伴下，度过了一个难忘美好的中秋！我把无数的赞誉都给它，下一个中秋，依然选它！,2019-09-14 10:35:13
s***o,美心传统七星伴明月月饼1350g,,0,1,月饼非常好，包装大气、上档次，送礼很有面子，美心月饼的口感也是比较好，信得过产品。跟*猫相比，价格有优惠，发货也快，此外，京东快递超级快，今天拍明天准时送到，是我选择京东购买的直接理由。,2020-09-26 23:08:31
u***y,美心精装八宝月饼675g,,0,2,今年买的四件香港美心月饼第三件，美心八宝月饼，一盒集多款口感不同风味的月饼，莲蓉蛋黄、豆沙、五仁等等，各不相同，但是都很好吃，不油腻，入口即化，真的很好吃。,2020-10-02 20:52:28
